name,team_ID,WAR_bat,WAR_pit,WAR_total,year_ID
Al Rosen,CLE,9.1,,9.1,1953
Duke Snider,BRO,8.8,,8.8,1953
Eddie Mathews,MIL,8.7,,8.7,1953
Robin Roberts,PHI,0.1,8.4,8.5,1953
Roy Campanella,BRO,7.7,,7.7,1953
Stan Musial,STL,7.5,,7.5,1953
Warren Spahn,MIL,0.3,6.2,6.5,1953
Harvey Haddix,STL,1.0,5.5,6.5,1953
Jackie Robinson,BRO,6.0,,6.0,1953
Red Schoendienst,STL,5.9,,5.9,1953
Mickey Vernon,WAS,5.4,,5.4,1953
Yogi Berra,NYY,5.4,,5.4,1953
Richie Ashburn,PHI,5.4,,5.4,1953
Ray Boone,- - -,5.4,,5.4,1953
Carl Erskine,BRO,-0.1,5.4,5.3,1953
Mike Garcia,CLE,0.5,4.6,5.1,1953
Solly Hemus,STL,5.1,,5.1,1953
Alex Kellner,PHA,0.2,4.8,5.1,1953
Larry Doby,CLE,5.0,,5.0,1953
Mickey Mantle,NYY,4.9,,4.9,1953
Eddie Yost,WAS,4.8,,4.8,1953
Virgil Trucks,- - -,0.2,4.6,4.8,1953
Monte Irvin,NYG,4.7,,4.7,1953
Mel Parnell,BOS,0.2,4.4,4.6,1953
Minnie Minoso,CHW,4.6,,4.6,1953
Hank Thompson,NYG,4.6,,4.6,1953
Carl Furillo,BRO,4.5,,4.5,1953
Vinegar Bend Mizell,STL,-0.7,5.1,4.5,1953
Pee Wee Reese,BRO,4.4,,4.4,1953
Curt Simmons,PHI,-0.4,4.8,4.4,1953
Gus Zernial,PHA,4.4,,4.4,1953
Gil Hodges,BRO,4.4,,4.4,1953
Mickey McDermott,BOS,0.8,3.5,4.3,1953
Ted Kluszewski,CIN,4.3,,4.3,1953
Paul Minner,CHC,0.2,4.0,4.3,1953
Don Larsen,SLB,0.3,3.9,4.2,1953
Bob Porterfield,WAS,1.1,3.1,4.2,1953
Early Wynn,CLE,1.1,3.0,4.1,1953
Bob Lemon,CLE,1.0,3.1,4.1,1953
Gus Bell,CIN,4.0,,4.0,1953
Billy Pierce,CHW,-1.2,5.1,3.9,1953
Gene Woodling,NYY,3.9,,3.9,1953
Jim Gilliam,BRO,3.9,,3.9,1953
Alvin Dark,NYG,3.9,-0.1,3.8,1953
Granny Hamner,PHI,3.7,,3.7,1953
George Kell,BOS,3.5,,3.5,1953
Gil McDougald,NYY,3.4,,3.4,1953
Johnny Logan,MIL,3.3,,3.3,1953
Harvey Kuenn,DET,3.3,,3.3,1953
Phil Rizzuto,NYY,3.2,,3.2,1953
Hank Bauer,NYY,3.2,,3.2,1953
Sherm Lollar,CHW,3.1,,3.1,1953
Jim Delsing,DET,3.1,,3.1,1953
Sid Gordon,MIL,3.0,,3.0,1953
Hal Brown,BOS,0.6,2.4,3.0,1953
Jim Busby,WAS,3.0,,3.0,1953
Johnny Antonelli,MIL,0.0,3.0,2.9,1953
Johnny Sain,NYY,0.6,2.3,2.9,1953
Ralph Kiner,- - -,2.8,,2.8,1953
Del Crandall,MIL,2.8,,2.8,1953
George Strickland,CLE,2.8,,2.8,1953
Bobby Avila,CLE,2.8,,2.8,1953
Billy Goodman,BOS,2.6,,2.6,1953
Ed Lopat,NYY,0.2,2.4,2.6,1953
Johnny Lindell,- - -,1.0,1.6,2.6,1953
Del Ennis,PHI,2.6,,2.6,1953
Ruben Gomez,NYG,-0.1,2.7,2.6,1953
Chuck Stobbs,WAS,0.3,2.3,2.6,1953
Whitey Ford,NYY,0.7,1.8,2.5,1953
Vic Raschi,NYY,-0.2,2.7,2.5,1953
Dale Mitchell,CLE,2.5,,2.5,1953
Ned Garver,DET,-0.1,2.5,2.5,1953
Randy Jackson,CHC,2.5,,2.5,1953
Jackie Collum,- - -,0.3,2.2,2.4,1953
Vic Wertz,SLB,2.4,,2.4,1953
Wally Westlake,CLE,2.3,,2.3,1953
Dave Philley,PHA,2.3,,2.3,1953
Ted Williams,BOS,2.3,,2.3,1953
Nellie Fox,CHW,2.3,,2.3,1953
Bobby Shantz,PHA,0.2,2.1,2.3,1953
Jackie Jensen,WAS,2.3,,2.3,1953
Billy Cox,BRO,2.2,,2.2,1953
Warren Hacker,CHC,0.0,2.2,2.2,1953
Willie Jones,PHI,2.2,,2.2,1953
Billy Hoeft,DET,0.2,2.0,2.2,1953
Earl Torgeson,PHI,2.2,,2.2,1953
Ferris Fain,CHW,2.1,,2.1,1953
Harry Brecheen,SLB,-0.1,2.3,2.1,1953
Bob Miller,PHI,-0.2,2.3,2.1,1953
Bob Nieman,DET,2.1,,2.1,1953
Sid Hudson,BOS,-0.3,2.4,2.1,1953
Connie Ryan,- - -,2.1,,2.1,1953
Billy Martin,NYY,2.1,,2.1,1953
Lew Burdette,MIL,-0.2,2.3,2.1,1953
Russ Meyer,BRO,-0.4,2.5,2.1,1953
Frank Thomas,PIT,2.1,,2.1,1953
Smoky Burgess,PHI,2.1,,2.1,1953
Willard Nixon,BOS,0.1,2.0,2.1,1953
Sal Maglie,NYG,0.3,1.8,2.1,1953
Sam Mele,CHW,2.0,,2.0,1953
Don Lenhardt,SLB,2.0,,2.0,1953
Bill Henry,BOS,0.0,2.0,2.0,1953
Harry Byrd,PHA,0.0,2.0,2.0,1953
Enos Slaughter,STL,2.0,,2.0,1953
Howie Pollet,- - -,-0.1,2.1,1.9,1953
Chico Carrasquel,CHW,1.9,,1.9,1953
Sammy White,BOS,1.9,,1.9,1953
Joe Collins,NYY,1.9,,1.9,1953
Jim McDonald,NYY,-0.3,2.2,1.9,1953
Jim Rivera,CHW,1.9,,1.9,1953
Bob Rush,CHC,-0.4,2.2,1.9,1953
Andy Pafko,MIL,1.9,,1.9,1953
Bob Friend,PIT,-0.4,2.2,1.8,1953
Joe Nuxhall,CIN,0.8,1.0,1.8,1953
Larry Jansen,NYG,-0.2,2.1,1.8,1953
Mike Fornieles,CHW,-0.4,2.2,1.8,1953
Danny O'Connell,PIT,1.8,,1.8,1953
Walt Masterson,WAS,0.0,1.8,1.8,1953
Art Houtteman,- - -,-0.1,1.9,1.8,1953
Fred Baczewski,- - -,0.0,1.8,1.8,1953
Ken Raffensberger,CIN,-0.3,2.1,1.8,1953
Duane Pillette,SLB,-0.1,1.8,1.8,1953
Pete Runnels,WAS,1.8,,1.8,1953
Harry Perkowski,CIN,0.1,1.7,1.8,1953
Bob Keegan,CHW,0.3,1.5,1.8,1953
Wes Westrum,NYG,1.8,,1.8,1953
Allie Reynolds,NYY,0.1,1.6,1.8,1953
Bob Elliott,- - -,1.7,,1.7,1953
Joe Astroth,PHA,1.7,,1.7,1953
Jim Greengrass,CIN,1.7,,1.7,1953
Wayne Terwilliger,WAS,1.7,,1.7,1953
Joe Adcock,MIL,1.7,,1.7,1953
Paul LaPalme,PIT,-0.7,2.4,1.7,1953
Cal Abrams,PIT,1.7,,1.7,1953
Dee Fondy,CHC,1.7,,1.7,1953
Murry Dickson,PIT,-0.5,2.2,1.7,1953
Bobby Thomson,NYG,1.7,,1.7,1953
Max Surkont,MIL,0.7,0.9,1.6,1953
Marv Grissom,- - -,-0.6,2.2,1.6,1953
Don Liddle,MIL,-0.2,1.8,1.6,1953
Johnny Podres,BRO,0.2,1.3,1.5,1953
Jim Hearn,NYG,0.0,1.6,1.5,1953
Eddie Joost,PHA,1.5,,1.5,1953
Davey Williams,NYG,1.5,,1.5,1953
Andy Seminick,CIN,1.5,,1.5,1953
Dave Hoskins,CLE,0.5,1.0,1.5,1953
Bob Buhl,MIL,-0.4,1.9,1.5,1953
Matt Batts,DET,1.5,,1.5,1953
Ted Gray,DET,0.3,1.2,1.5,1953
Willard Marshall,CIN,1.5,,1.5,1953
Jim Konstanty,PHI,-0.1,1.5,1.5,1953
Dick Gernert,BOS,1.4,,1.4,1953
Hank Sauer,CHC,1.4,,1.4,1953
Ray Murray,PHA,1.4,,1.4,1953
Bud Podbielan,CIN,-0.4,1.8,1.4,1953
Gerry Staley,STL,-0.7,2.1,1.4,1953
Rip Repulski,STL,1.4,,1.4,1953
Bobby Adams,CIN,1.4,,1.4,1953
Frank Baumholtz,CHC,1.4,,1.4,1953
Stu Miller,STL,0.0,1.3,1.3,1953
Clem Labine,BRO,-0.2,1.6,1.3,1953
Dick Littlefield,SLB,-0.1,1.4,1.3,1953
Billy Loes,BRO,-0.4,1.7,1.3,1953
Cass Michaels,PHA,1.3,,1.3,1953
Don Bollweg,NYY,1.3,,1.3,1953
Ralph Branca,- - -,-0.1,1.4,1.3,1953
Johnny Hetki,PIT,0.1,1.2,1.3,1953
Connie Marrero,WAS,-0.1,1.4,1.3,1953
Bob Turley,SLB,0.2,1.0,1.2,1953
Irv Noren,NYY,1.2,,1.2,1953
Harry Dorish,CHW,-0.2,1.4,1.2,1953
Stan Lopata,PHI,1.2,,1.2,1953
Bob Feller,CLE,-0.2,1.4,1.2,1953
Bob Hall,PIT,0.0,1.2,1.2,1953
Johnny Klippstein,CHC,-0.2,1.4,1.2,1953
Ben Flowers,BOS,-0.1,1.2,1.2,1953
Joe Presko,STL,0.1,1.0,1.2,1953
Al Worthington,NYG,-0.3,1.5,1.2,1953
Johnny Pesky,DET,1.1,,1.1,1953
Bob Milliken,BRO,-0.2,1.4,1.1,1953
Dick Kryhoski,SLB,1.1,,1.1,1953
Clyde Vollmer,- - -,1.1,,1.1,1953
Steve Souchock,DET,1.1,,1.1,1953
Marlin Stuart,SLB,0.0,1.1,1.1,1953
Bobby Morgan,BRO,1.1,,1.1,1953
Joe Ginsberg,- - -,1.1,,1.1,1953
Ellis Kinder,BOS,0.3,0.7,1.0,1953
Dave Koslo,NYG,-0.5,1.5,1.0,1953
Sandy Consuegra,- - -,-0.5,1.4,1.0,1953
Joe Tipton,CLE,1.0,,1.0,1953
Hal Rice,- - -,1.0,,1.0,1953
Del Rice,STL,1.0,,1.0,1953
Marion Fricano,PHA,-0.2,1.2,1.0,1953
Luke Easter,CLE,1.0,,1.0,1953
Andy Carey,NYY,1.0,,1.0,1953
Bob Cain,SLB,0.0,0.9,0.9,1953
Bobby Hofman,NYG,0.9,,0.9,1953
Bill Serena,CHC,0.9,,0.9,1953
Morrie Martin,PHA,-0.4,1.3,0.9,1953
Spec Shea,WAS,0.0,0.9,0.9,1953
Saul Rogovin,CHW,0.1,0.8,0.8,1953
Bill Renna,NYY,0.8,,0.8,1953
Dick Kokos,SLB,0.8,,0.8,1953
Preacher Roe,BRO,-0.6,1.4,0.8,1953
Don Mueller,NYG,0.8,,0.8,1953
Joe Dobson,CHW,-0.3,1.1,0.8,1953
Jerry Lane,WAS,0.0,0.7,0.8,1953
Dick Marlowe,DET,0.0,0.8,0.7,1953
Dick Cole,PIT,0.7,,0.7,1953
Eddie Robinson,PHA,0.7,,0.7,1953
Jim Pendleton,MIL,0.7,,0.7,1953
Clyde McCullough,CHC,0.7,,0.7,1953
Les Moss,SLB,0.7,,0.7,1953
Karl Drews,PHI,-0.4,1.1,0.7,1953
Jim Wilson,MIL,0.0,0.7,0.7,1953
Vern Stephens,- - -,0.7,,0.7,1953
Ernie Johnson,MIL,-0.2,0.9,0.7,1953
Mel Clark,PHI,0.7,,0.7,1953
Al Brazle,STL,0.2,0.5,0.7,1953
Roy Face,PIT,-0.2,0.9,0.7,1953
Steve Gromek,- - -,-0.6,1.2,0.6,1953
Jim Hughes,BRO,0.1,0.6,0.6,1953
Steve Ridzik,PHI,0.2,0.5,0.6,1953
Steve Bilko,STL,0.6,,0.6,1953
Whitey Lockman,NYG,0.6,,0.6,1953
Al Aber,- - -,0.0,0.6,0.6,1953
Red Wilson,CHW,0.6,,0.6,1953
Jim Willis,CHC,-0.1,0.7,0.6,1953
Ike Delock,BOS,-0.1,0.6,0.5,1953
Tom Umphlett,BOS,0.5,,0.5,1953
Milt Bolling,BOS,0.5,,0.5,1953
Carl Scheib,PHA,0.0,0.5,0.5,1953
Johnny Temple,CIN,0.5,,0.5,1953
Bill Bruton,MIL,0.5,,0.5,1953
Joe Garagiola,- - -,0.5,,0.5,1953
Ernie Banks,CHC,0.5,,0.5,1953
Tommy Glaviano,PHI,0.5,,0.5,1953
Jim Hegan,CLE,0.5,,0.5,1953
Del Wilber,BOS,0.5,,0.5,1953
Roy McMillan,CIN,0.5,,0.5,1953
Connie Johnson,CHW,-0.2,0.7,0.5,1953
Jerry Snyder,WAS,0.5,,0.5,1953
Roy Sievers,SLB,0.5,,0.5,1953
Charles Silvera,NYY,0.5,,0.5,1953
Bud Stewart,CHW,0.5,,0.5,1953
Fred Hatfield,DET,0.4,,0.4,1953
Paul Pettit,PIT,0.1,0.3,0.4,1953
Joe Demaestri,PHA,0.4,,0.4,1953
Sonny Dixon,WAS,0.1,0.3,0.4,1953
Satchel Paige,SLB,-0.4,0.8,0.4,1953
Ray Noble,NYG,0.4,,0.4,1953
Ray Herbert,DET,0.0,0.4,0.4,1953
Don Lund,DET,0.4,,0.4,1953
Johnny Mize,NYY,0.4,,0.4,1953
Wayne Belardi,BRO,0.4,,0.4,1953
Bob Boyd,CHW,0.4,,0.4,1953
